titre,type_bien,type_annonce,prix,surface_m2,nb_chambres,nb_salons,nb_sdb,quartier,ville,description,caracteristiques,seller,date_publication,url_annonce,source
أرض استثماريه للبيع,Terrain,Vente,3700000.0,910.0,,,,لبحر,Tevragh Zeina,"فرصة أرض استثماريه للبيع
3 نيمروات اكرييب من لبحر و فاتحين اعل 3 شوارع افزرهم الا الشركات
المساحه 910 م² 
السعر 37 مليون
واتساب [TÉLÉPHONE SUPPRIMÉ] للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-02-22,https://voursa.com/FR/categories/real_estate/ads/ارض-استثماريه-للبيع-80c1,voursa
نصف نيمرو بلو زين من سكتير 5 F Nord,Terrain,Vente,3700000.0,300.0,,,,مسجد الحضرة,Tevragh Zeina,نصف نيمرو بلو زين من سكتير 5 F Nord وسط البنيان صاد اعل جيهة البحر المساحة 300م٢ الثمن 37 مليون,,سيدي محمد,2026-02-28,https://voursa.com/FR/categories/real_estate/ads/نصف-نيمرو-بلو-زين-من-سكتير-5-f-nord--3efc,voursa
سمعه للبيع,Immobilier résidentiel,Vente,1300000.0,1.0,0.0,0.0,0.0,كارفور,Arafat,"سمعه للبيع 
كارفور 
السعر 13 مليون
واتساب [TÉLÉPHONE SUPPRIMÉ] للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/سمعه-للبيع-cf3e,voursa
أتراب للبيــع فالمطار إعلى كدروه لكبيد,Terrain,Vente,17000000.0,1370.0,,,,محطة زيتي,Dar Naim,المساحة 1370م² أفكرن واعلى كدروه الثمن 170 مليون,,سيدي محمد,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/اتراب-للبيــع-فالمطار-اعلى-كدروه-لكبيد--f529,voursa
نيمرو للبيــع فالمطار سوق السيارات,Terrain,Vente,2000000.0,400.0,,,,كرفور لابست,Dar Naim,رقم 77من ابلوك 43 امدخل 70الف مبيوع ب 20 مليون مساحة 400م٢,,سيدي محمد,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/نيمرو-للبيــع-فالمطار-سوق-السيارات--d899,voursa
سكن فبوحديده احذ كدروه حظ سعيد,Immobilier résidentiel,Vente,550000.0,150.0,3.0,1.0,1.0,كدروه حظ سعيد,Toujounine,سكن فبوحديده احذ كدروه حظ سعيد فيه بيتن من بتوه واحد من السنك,Garage,محمد عبد الله ولد سيكه,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/سكن-فبوحديده-احذ-كدروه-حظ-سعيد-f8f8,voursa
فلبوادي على شارع كبير 300م,Terrain,Vente,1400000.0,300.0,,,,كدروه البوادي,Tevragh Zeina,"300م 
فكرن فلبوادي على شارع 20 
أوراق مكتملة 
للمزيد واتساب [TÉLÉPHONE SUPPRIMÉ]",,محمد لمين ولد شيباني,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/فلبوادي-على-شارع-كبير-300م--f69d,voursa
ديبلكس اكبير للبيع,Immobilier résidentiel,Vente,15000000.0,930.0,0.0,0.0,0.0,سكتير 5,Tevragh Zeina,"فرصة سمعه للبيع
الموقع : منطقة سكتير 5 
المساحة : 930 م 
السعر : 150 مليون 
واتساب [TÉLÉPHONE SUPPRIMÉ] للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/ديبلكس-اكبير-للبيع--33f8,voursa
دار فعرفات الداية 11,Immobilier résidentiel,Vente,1300000.0,180.0,3.0,1.0,2.0,بقالة الحوضين,Arafat,دار فعرفات الداية 11 احذ بقالة الحوضين,Garage,محمد عبد الله ولد سيكه,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/دار-فعرفات-الداية-11-8af4,voursa
ديبلكس للبيع,Immobilier résidentiel,Vente,3300000.0,180.0,0.0,0.0,0.0,سوكوجيم عين الطلح,Teyarett,"ديبلكس للبيع 
قرب بارك سوكوجيم 
المساحه 180 م²
فاتح اعل شارع 8 م و ميت فيه T
مأجرة ب 240الف
السعر 33 مليون 
واتساب [TÉLÉPHONE SUPPRIMÉ] للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/ديبلكس-للبيع--f32e,voursa
نيمرو للبيــع في سكتير 5 F Nord,Terrain,Vente,6700000.0,875.0,,,,سكتير 5,Tevragh Zeina,نيمرو للبيع في تفرغ زينه في سكتير. 5. المساحة 875م  السعر  67 مليون,,سيدي محمد,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/نيمرو-للبيــع-في-سكتير-5-f-nord--d8b0,voursa
150م² فكرن فشرم الشيخ البوادي نظيفة,Terrain,Vente,1800000.0,150.0,,,,البوادي,Teyarett,"شوارعها كبار ونظيفة ماشاءالله 
ملاحظة للراغبين في شراء او بيع دار او نيمرو ماعليكم سوى التواصل معنا والله المستعان",,محمدفال,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/150م-فكرن-فشرم-الشيخ-البوادي-نظيفة-beea,voursa
ديبلكس للبيع,Immobilier résidentiel,Vente,8500000.0,400.0,0.0,0.0,0.0,الصحراوي,Teyarett,"ديبلكس للبيع 
الموقع الصحراوي 
المساحه 400 م²
السعر 85 مليون
واتساب [TÉLÉPHONE SUPPRIMÉ] للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/ديبلكس-للبيع--0acc,voursa
دار ف كرفور بالقرب من كدروه طب اطاليا للبيع,Immobilier résidentiel,Vente,750000.0,150.0,3.0,1.0,2.0,كرفور,Tevragh Zeina,السلام عليكم هذ دار فكرفور بالقرب من كدروه طب الكاره مساحتها 150م# فيها صلوه وبتين وجلسه ومرافق وتهويه مدخل خمسين ألف مبيووع ب 7ملاين واخمس مائة للإستفسار اكثر اتصلوا على الرقم التالى [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/دار-ف-كرفور-بالقرب-من-كدروه-طب-اطاليا-للبيع--4515,voursa
ديبلكس للبيــع في الفوز,Terrain,Vente,5200000.0,200.0,,,,الفوز البوادي,Teyarett,"دبلكس فالفوز المساحه 200م
قرب كدروه السعر الأخير 52 مليون",,سيدي محمد,2026-02-27,https://voursa.com/FR/categories/real_estate/ads/ديبلكس-للبيــع-في-الفوز--c66a,voursa
